1,56725,3
1,49866,3
1,30339,6
2,69874,10
2,82185,4
3,79614,5
3,52650,10
3,65877,5
4,2481,5
4,3966,1
5,63428,10
5,35959,0
6,16694,6
6,60011,8
6,22442,7
6,34343,4
7,33067,1
7,28485,4
8,66827,8
8,60776,3
8,44457,9
8,79170,6
9,73207,7
9,20713,7
10,61834,5
10,49824,9
10,23697,7
10,19223,9
10,4431,3
11,71829,0
11,54029,7
11,30395,4
11,78732,6
11,17878,0
12,69235,5
12,3380,4
12,59015,3
13,84456,7
14,42398,3
14,53790,0
14,6077,3
14,43830,3
14,45980,10
15,51562,6
15,68052,4
15,18642,0
15,98234,9
15,5180,6
16,97113,5
16,78552,3
16,33091,2
16,83051,8
16,3618,0
17,38581,10
17,26223,8
17,58093,1
17,43794,10
17,20862,9
18,22857,5
18,99236,5
19,85277,5
19,23480,2
20,49492,7
20,56464,4
20,37429,4
20,26572,1
21,9149,4
22,64481,0
22,34239,8
22,29330,1
22,18686,10
22,52685,9
23,30387,9
24,90289,4
24,38617,3
24,80227,9
25,25474,0
25,97103,3
25,38610,3
26,34208,9
26,23982,0
27,43724,0
27,95938,10
27,69088,4
28,79304,9
28,13824,2
28,74393,2
29,86037,1
29,9657,8
29,67177,4
29,77633,4
29,51614,4
30,75919,0
30,77899,1
31,88554,7
31,35251,3
32,89282,10
32,31918,8
32,64094,6
32,61966,0
33,11855,4
33,3977,6
33,96305,5
33,90976,8
33,85657,0
34,65236,4
34,7631,10
34,13960,10
35,92042,1
35,89933,3
36,62154,7
36,21580,3
37,63978,8
37,74160,4
37,59749,6
37,97785,2
38,9156,0
38,74168,8
38,58530,3
38,6641,7
38,42990,2
39,8947,7
39,25075,9
40,89121,10
40,45543,6
40,39190,9
41,35618,8
41,12702,9
41,9833,3
41,3290,4
42,84014,3
42,27553,7
43,21591,3
44,57144,3
44,82868,2
44,21332,0
44,99082,8
44,62627,8
45,38991,8
46,76937,5
46,80646,0
46,70750,1
46,75645,3
46,23003,7
47,79095,7
48,59654,9
48,48562,3
48,46219,10
48,42411,6
49,17298,1
49,63768,5
49,20847,4
49,81716,10
49,37940,6
50,83619,2
50,33260,10
50,44778,9
50,77563,10
50,96884,6
51,31923,5
51,85343,1
51,88691,2
52,63736,10
52,92737,10
52,30950,3
52,28570,2
52,9504,8
53,6788,4
53,33235,0
53,30371,10
53,61057,0
53,61042,8
54,1595,9
54,19424,5
55,32394,2
56,34795,3
56,78003,7
56,66649,8
57,94716,7
57,9805,6
57,51235,5
58,74466,5
58,73300,5
58,89571,4
58,66130,5
58,65012,2
59,40292,7
59,33845,1
59,38569,4
60,47368,9
61,78388,8
62,49504,8
62,71904,8
62,40422,7
62,59181,7
63,95716,0
64,47085,0
64,61571,2
65,90830,7
65,70955,4
65,69136,10
65,66698,1
66,98857,8
66,85906,6
67,58184,2
